# FORM			LEMMA			UPOS		UFEATS						MISC			URL
imitic			_			NOUN		_						_			_
nehnemi			_			VERB		_						_			_
ceppa			ceppa			ADV		_						Gloss=una.vez			_
paqui			_			VERB		_						Gloss=alegrar			_
achi			_			ADV		_						_			_
achitzin		_			ADV		_						_			_
omihto			ihtoa			VERB		_						_			_
ayac			ayac			PRON		_						Gloss=nadie			_
tlatepozmihuia		_			VERB		_						_			_
campa			campa			ADV		_						Gloss=donde			_
tepeticpac		tepeticpac		NOUN		_						Locative=Yes|Gloss=encima.del.monte			https://nahuatl.wired-humanities.org/content/tepeticpac
mocaquiya		_			VERB		_						_			_
cenca			_			ADV		_						Gloss=muy			_
caquizti		caquiztia		VERB		_						Gloss=sonar			_
teyolmicti		_			VERB		_						_			_
tlaxeloa		_			VERB		_						_			_
mixehuaya		_			VERB		_						_			_
ayaxcan			ayaxcan			ADV		_						Gloss=con.dificultad			_
quimomaca		_			VERB		_						_			_
quitlacanotzaz		_			VERB		_						_			_
quitlalochtoca		_			VERB		_						_			_
quitepotztoca		_			VERB		_						_			_
quenami			_			ADV		PronType=Int					_			_
quitohtoca		_			VERB		_						_			_
nohuian			_			ADV		_						_			_
oquiciammicti		_			VERB		_						_			_
huictli			_			NOUN		_						Gloss=azadón			_
quimacaz		maca			VERB		_						_			_
necuiltonolli		_			NOUN		_						Gloss=riqueza			_
netoliniliztli		_			NOUN		_						Gloss=miseria			_
iyaotlahueliloc		_			NOUN		_						_			_
quinotza		notza			VERB		_						_			_
quilhuia		ilhuia			VERB		_						_			_
huitzitle		huitztli		NOUN		_						Gloss=colibrí			_
huitztli		huitztli		NOUN		_						Gloss=colibrí			_
yaotle			yaotl			NOUN		_						Gloss=guerrero			_
ticnequi		_			VERB		_						_			_
tenotzaya		notza			VERB		_						_			_
macehualli		macehualli		NOUN		_						Gloss=vasallo			_
imacehual		macehualli		NOUN		_						Gloss=su.vasallo			_
oquimottiti		_			VERB		_						_			_
tlalticpac		tlalticpac		NOUN		_						Gloss=en.la.tierra|Locative=Yes			_
netlamachtilli		_			NOUN		_						Gloss=prosperidad			_
xochitl			xochitl			NOUN		_						Gloss=flor			_
tilmatli		tilmatli		NOUN		_						_			_
tenzacatl		tenzacatl		NOUN		_						_			_
tlapiloni		tlapiloni		NOUN		_						_			_
oquitenehuilli		_			VERB		_						_			_
iyetl			iyetl			NOUN		_						Gloss=tabaco			_
moch			moch			PRON		_						Gloss=todo			_
quinihcuac		quinihcuac		ADV		_						Gloss=entonces			_
quihuelitta		itta			VERB		_						_			_
tlatlatolli		tlatlatolli		NOUN		_						Gloss=narrativa			_
tecolli			tecolli			NOUN		_						Gloss=fuego			_
tzotzomatli		tzotzomatli		NOUN		_						_			_
